SUBJECT;LABEL;DICE;HDRFDST
117122;Amygdala;0.08279005365487797;28.75760768909681
117122;GreyMatter;0.4716940982066965;11.357816691600547
117122;Hippocampus;0.12938317615803988;29.58039891549808
117122;Thalamus;0.1936374877551348;57.175169435691224
117122;WhiteMatter;0.49301770116636917;14.866068747318506
117122-PP;Amygdala;0.0;inf
117122-PP;GreyMatter;0.11431422211988641;65.91661399070799
117122-PP;Hippocampus;0.07634008543475265;18.027756377319946
117122-PP;Thalamus;0.0;inf
117122-PP;WhiteMatter;0.20612791215018778;40.792156108742276
118528;Amygdala;0.11146086707683503;24.73863375370596
118528;GreyMatter;0.4730585947924212;12.0
118528;Hippocampus;0.12290244466347851;31.448370387032774
118528;Thalamus;0.24838930774503085;57.584720195551874
118528;WhiteMatter;0.4789019292750557;14.628738838327793
118528-PP;Amygdala;0.0;inf
118528-PP;GreyMatter;0.10930653397865213;65.79513659838392
118528-PP;Hippocampus;0.009452253999030538;21.354156504062622
118528-PP;Thalamus;0.0;inf
118528-PP;WhiteMatter;0.26677316293929715;41.24318125460256
118730;Amygdala;0.14173381855991682;32.12475680841802
118730;GreyMatter;0.4566913263045982;15.0
118730;Hippocampus;0.12612878474886383;32.77193921634788
118730;Thalamus;0.2147273128725988;60.21627686929839
118730;WhiteMatter;0.43780057363976904;16.0
118730-PP;Amygdala;0.0;inf
118730-PP;GreyMatter;0.12992607143928261;69.0
118730-PP;Hippocampus;0.002642706131078224;26.038433132583073
118730-PP;Thalamus;0.0;inf
118730-PP;WhiteMatter;0.40303329649299546;37.86819245752297
118932;Amygdala;0.12386446944825168;30.0
118932;GreyMatter;0.49372746790826766;12.806248474865697
118932;Hippocampus;0.14232085397619898;31.0322412983658
118932;Thalamus;0.20097390716919525;56.124860801609124
118932;WhiteMatter;0.4901980928078475;15.7797338380595
118932-PP;Amygdala;0.0;inf
118932-PP;GreyMatter;0.13743345718026187;72.11795892841117
118932-PP;Hippocampus;0.0212347620920173;21.18962010041709
118932-PP;Thalamus;0.0;inf
118932-PP;WhiteMatter;0.3401876288472541;40.11234224026316
120111;Amygdala;0.11764705882352941;31.016124838541646
120111;GreyMatter;0.4628171869063547;11.40175425099138
120111;Hippocampus;0.1378526204923821;33.18132004607411
120111;Thalamus;0.2080807329440498;54.01851534427802
120111;WhiteMatter;0.5119531999415178;16.0
120111-PP;Amygdala;0.0;inf
120111-PP;GreyMatter;0.11140352494377051;69.00724599634447
120111-PP;Hippocampus;0.015456362425049967;18.411952639521967
120111-PP;Thalamus;0.0;inf
120111-PP;WhiteMatter;0.30296028299192185;40.422765862815474
122317;Amygdala;0.12839956667997035;29.832867780352597
122317;GreyMatter;0.47791825756656364;11.0
122317;Hippocampus;0.12122741859878124;29.563490998188964
122317;Thalamus;0.20483308161033278;64.33506042586733
122317;WhiteMatter;0.49169538673064755;15.132745950421556
122317-PP;Amygdala;0.0;inf
122317-PP;GreyMatter;0.12518195673223878;63.7102817447859
122317-PP;Hippocampus;0.035828220858895705;16.0
122317-PP;Thalamus;0.0;inf
122317-PP;WhiteMatter;0.1910256221577948;41.0
122620;Amygdala;0.16285156106012016;27.147743920996454
122620;GreyMatter;0.48253571551598184;11.789826122551595
122620;Hippocampus;0.1286068929941645;26.888659319497503
122620;Thalamus;0.21933112039119107;51.82663407939975
122620;WhiteMatter;0.46293538857387906;15.0
122620-PP;Amygdala;0.0;inf
122620-PP;GreyMatter;0.07012473743893512;73.00684899377592
122620-PP;Hippocampus;0.0017248814144027599;24.289915602982237
122620-PP;Thalamus;0.0;inf
122620-PP;WhiteMatter;0.3654090378175193;36.138621999185304
123117;Amygdala;0.0468604900350025;37.64306044943742
123117;GreyMatter;0.36880072287111626;33.555923471125034
123117;Hippocampus;0.010782317000119803;42.77849927241488
123117;Thalamus;0.014628873408599568;56.01785429664367
123117;WhiteMatter;0.47498188568834715;16.0
123117-PP;Amygdala;0.0;inf
123117-PP;GreyMatter;0.06643403417838331;103.29569206893383
123117-PP;Hippocampus;0.0;29.832867780352597
123117-PP;Thalamus;0.0;inf
123117-PP;WhiteMatter;0.5280923376604497;35.185224171518364
123925;Amygdala;0.1566733330817705;25.0
123925;GreyMatter;0.47959076176703574;12.68857754044952
123925;Hippocampus;0.12958212884925965;29.0516780926679
123925;Thalamus;0.2314706123228959;58.146367040426526
123925;WhiteMatter;0.5069647434864971;13.92838827718412
123925-PP;Amygdala;0.0;inf
123925-PP;GreyMatter;0.11008754298986109;61.0163912403872
123925-PP;Hippocampus;0.011385726187170231;17.0
123925-PP;Thalamus;0.0;inf
123925-PP;WhiteMatter;0.35476571273011875;38.3275357934736
124422;Amygdala;0.14848465182685444;27.51363298439521
124422;GreyMatter;0.45820296459180565;13.114877048604
124422;Hippocampus;0.13512925170068027;28.930952282978865
124422;Thalamus;0.2647920496323529;56.32051136131489
124422;WhiteMatter;0.44677125654658956;15.0
124422-PP;Amygdala;0.0;inf
124422-PP;GreyMatter;0.12594135555199487;66.15134163416491
124422-PP;Hippocampus;0.03805980827013879;17.72004514666935
124422-PP;Thalamus;0.0;inf
124422-PP;WhiteMatter;0.3754272601881921;39.408120990476064
