SUBJECT;LABEL;DICE;HDRFDST
117122;Amygdala;0.056683832595923696;78.65112840894274
117122;GreyMatter;0.3336044462518639;8.306623862918075
117122;Hippocampus;0.11123941924995796;34.0
117122;Thalamus;0.1869540489697111;45.9782557302906
117122;WhiteMatter;0.628262452362784;8.0
117122-PP;Amygdala;0.0;inf
117122-PP;GreyMatter;0.00030244090669698026;61.30252849597641
117122-PP;Hippocampus;0.0;66.89544080129826
117122-PP;Thalamus;0.08079978088195015;10.770329614269007
117122-PP;WhiteMatter;0.012221800708143653;42.62628297189423
118528;Amygdala;0.046136409093939595;76.11175993235211
118528;GreyMatter;0.32324571468921565;7.54983443527075
118528;Hippocampus;0.09568808431539526;33.54101966249684
118528;Thalamus;0.1778010111983272;46.14108798023731
118528;WhiteMatter;0.6772757844539355;8.0
118528-PP;Amygdala;0.0;inf
118528-PP;GreyMatter;0.0014293632041072315;45.902069670114
118528-PP;Hippocampus;0.0;inf
118528-PP;Thalamus;0.0028795623065294073;33.77869150810907
118528-PP;WhiteMatter;0.006049497646880708;61.09828148156051
118730;Amygdala;0.051076644203078635;77.05193054038295
118730;GreyMatter;0.3332844212157684;8.12403840463596
118730;Hippocampus;0.0892580765237153;36.069377593742864
118730;Thalamus;0.21579992924592484;45.760244754590204
118730;WhiteMatter;0.6764785498456215;8.0
118730-PP;Amygdala;0.0;inf
118730-PP;GreyMatter;0.001136925787386199;44.82186966202994
118730-PP;Hippocampus;0.0;93.23625904121208
118730-PP;Thalamus;0.0026035684202465733;25.019992006393608
118730-PP;WhiteMatter;0.0004780097670950918;63.631753079732135
118932;Amygdala;0.06256009955314215;77.51773990513398
118932;GreyMatter;0.3864424431725788;7.54983443527075
118932;Hippocampus;0.10798089885073228;34.292856398964496
118932;Thalamus;0.1944965603502189;45.89117562233506
118932;WhiteMatter;0.6274192297550912;8.0
118932-PP;Amygdala;0.0;inf
118932-PP;GreyMatter;0.0010328610674873115;72.95889253545451
118932-PP;Hippocampus;0.0;inf
118932-PP;Thalamus;0.004271443334481571;28.0
118932-PP;WhiteMatter;0.010169980525569207;44.68780594300866
120111;Amygdala;0.05278202247191011;76.0
120111;GreyMatter;0.3193871398444955;9.0
120111;Hippocampus;0.11076969197331935;33.31666249791537
120111;Thalamus;0.1955878418368588;47.4236228055175
120111;WhiteMatter;0.6934987974380431;7.0710678118654755
120111-PP;Amygdala;0.0;inf
120111-PP;GreyMatter;0.0004246053347849755;70.66116330771806
120111-PP;Hippocampus;0.0;inf
120111-PP;Thalamus;0.035364294844482315;12.165525060596439
120111-PP;WhiteMatter;0.010396257567418823;44.28317965096906
122317;Amygdala;0.06534800770595305;77.7303029712351
122317;GreyMatter;0.36792367852409247;9.0
122317;Hippocampus;0.10183372331789313;32.18695387886216
122317;Thalamus;0.17276510259721625;47.095647357266465
122317;WhiteMatter;0.6355429010838278;8.12403840463596
122317-PP;Amygdala;0.0;inf
122317-PP;GreyMatter;0.002420438439875573;69.38299503480663
122317-PP;Hippocampus;0.0;inf
122317-PP;Thalamus;0.053199574403404774;10.63014581273465
122317-PP;WhiteMatter;0.016274758968021732;41.182520563948
122620;Amygdala;0.0552208191782578;77.1621668954417
122620;GreyMatter;0.35375209971196425;9.0
122620;Hippocampus;0.09038698456409885;34.10278580995987
122620;Thalamus;0.1915510193675587;45.14421336118285
122620;WhiteMatter;0.659135072801792;8.0
122620-PP;Amygdala;0.0;76.01973427998811
122620-PP;GreyMatter;0.003388614428409037;51.45872132107443
122620-PP;Hippocampus;0.0;inf
122620-PP;Thalamus;0.000867177337765573;29.49576240750525
122620-PP;WhiteMatter;0.0030070400113206214;47.3392015141785
123117;Amygdala;0.057002493859106336;79.81854421122951
123117;GreyMatter;0.35601355769100185;8.246211251235321
123117;Hippocampus;0.10834160664117784;32.57299494980466
123117;Thalamus;0.19724189689947932;45.39823785126467
123117;WhiteMatter;0.6850249725412196;7.0
123117-PP;Amygdala;0.0;inf
123117-PP;GreyMatter;0.00035905794533815224;67.1863081289633
123117-PP;Hippocampus;0.0;inf
123117-PP;Thalamus;0.003804692454026633;12.806248474865697
123117-PP;WhiteMatter;0.014276342420054995;41.677331968349414
123925;Amygdala;0.06702833031946956;79.5361553005927
123925;GreyMatter;0.33592724424224946;8.0
123925;Hippocampus;0.11937011092314853;31.20897306865447
123925;Thalamus;0.20326143063825455;44.14748010928823
123925;WhiteMatter;0.6277296774108007;8.0
123925-PP;Amygdala;0.0;inf
123925-PP;GreyMatter;0.00018462307028165877;61.29437168288782
123925-PP;Hippocampus;0.0;inf
123925-PP;Thalamus;0.03401094605160281;10.344080432788601
123925-PP;WhiteMatter;0.018776845980773164;40.36087214122113
124422;Amygdala;0.06730494880005072;77.6530746332687
124422;GreyMatter;0.30986253777278794;8.0
124422;Hippocampus;0.1052254001076097;33.03028912982749
124422;Thalamus;0.2165716490205324;44.553338819890925
124422;WhiteMatter;0.6484154611794436;8.0
124422-PP;Amygdala;0.0;inf
124422-PP;GreyMatter;0.00030557194638792883;49.51767361255979
124422-PP;Hippocampus;0.0;inf
124422-PP;Thalamus;0.007290400972053463;30.72458299147443
124422-PP;WhiteMatter;0.0014961391697146905;54.49770637375485
