SUBJECT;LABEL;DICE;HDRFDST
117122;Amygdala;0.056193299200574864;78.64477096412705
117122;GreyMatter;0.3315598718679857;8.06225774829855
117122;Hippocampus;0.1121433838126028;33.896902513356586
117122;Thalamus;0.18089553919567575;46.17358552246078
117122;WhiteMatter;0.6340665172453144;8.54400374531753
117122-PP;Amygdala;0.0;inf
117122-PP;GreyMatter;0.00017731143710919778;83.23460818673925
117122-PP;Hippocampus;0.0;inf
117122-PP;Thalamus;0.07963392979101215;11.0
117122-PP;WhiteMatter;0.011945262998140865;41.737273509418415
118528;Amygdala;0.045616348055372444;76.05918747922567
118528;GreyMatter;0.320913538255726;7.810249675906654
118528;Hippocampus;0.09579145728643217;33.555923471125034
118528;Thalamus;0.1695202468306876;46.2709412050371
118528;WhiteMatter;0.6840424182178091;8.54400374531753
118528-PP;Amygdala;0.0;inf
118528-PP;GreyMatter;0.001225239942822136;56.444663166680336
118528-PP;Hippocampus;0.0;60.94259594077036
118528-PP;Thalamus;0.0018719850241198071;33.37663853655727
118528-PP;WhiteMatter;0.0048669642713252;50.80354318352215
118730;Amygdala;0.05055561986341012;77.02596964660685
118730;GreyMatter;0.33040200082415677;8.0
118730;Hippocampus;0.08909486052258135;36.05551275463989
118730;Thalamus;0.20832370353250723;45.93473631142341
118730;WhiteMatter;0.682333658252791;9.0
118730-PP;Amygdala;0.0;inf
118730-PP;GreyMatter;0.000980647400850473;43.78355855797927
118730-PP;Hippocampus;0.0;inf
118730-PP;Thalamus;0.0018387986515476554;26.49528259898354
118730-PP;WhiteMatter;0.00035674534090584777;51.176166327695945
118932;Amygdala;0.062096020922847;77.46612162745726
118932;GreyMatter;0.3838160047403786;7.0710678118654755
118932;Hippocampus;0.10915154532927267;34.20526275297414
118932;Thalamus;0.1861838504306744;46.2709412050371
118932;WhiteMatter;0.63422451351482;8.06225774829855
118932-PP;Amygdala;0.0;inf
118932-PP;GreyMatter;0.0005758734433420985;59.61543424315552
118932-PP;Hippocampus;0.0;inf
118932-PP;Thalamus;0.003717216218076685;35.41186241925155
118932-PP;WhiteMatter;0.00988289609733811;53.4696175411794
120111;Amygdala;0.05241138665859607;75.9670981412348
120111;GreyMatter;0.3167773053196525;8.246211251235321
120111;Hippocampus;0.11140238750352059;33.27160951922825
120111;Thalamus;0.18684507749262722;47.52893855326458
120111;WhiteMatter;0.6983134168790485;8.0
120111-PP;Amygdala;0.0;inf
120111-PP;GreyMatter;0.00045727226208233077;61.75759062657804
120111-PP;Hippocampus;0.0;inf
120111-PP;Thalamus;0.0059192954594672635;30.380915061926625
120111-PP;WhiteMatter;0.009777420544694814;42.23742416388575
122317;Amygdala;0.06457936702418428;77.64663547121665
122317;GreyMatter;0.3655925366942922;9.0
122317;Hippocampus;0.10303563466335668;32.09361307176243
122317;Thalamus;0.16880945277428935;47.20169488482379
122317;WhiteMatter;0.6410052123841019;9.0
122317-PP;Amygdala;0.0;inf
122317-PP;GreyMatter;0.0014096380546994845;78.12809993849844
122317-PP;Hippocampus;0.0;inf
122317-PP;Thalamus;0.0364862793193316;12.24744871391589
122317-PP;WhiteMatter;0.014648745143337184;39.42080668885405
122620;Amygdala;0.0547192581300813;77.110310594628
122620;GreyMatter;0.350867675186924;9.0
122620;Hippocampus;0.08984228742591527;34.07345007480164
122620;Thalamus;0.1837418239542557;45.81484475582123
122620;WhiteMatter;0.6652684209414796;9.0
122620-PP;Amygdala;0.0;inf
122620-PP;GreyMatter;0.003561364382898536;49.05099387372289
122620-PP;Hippocampus;0.0;69.02897942168927
122620-PP;Thalamus;0.0005783271886069544;33.52610922848042
122620-PP;WhiteMatter;0.0026254706032213322;57.38466694161429
123117;Amygdala;0.05649780348106545;79.66806135459805
123117;GreyMatter;0.35290049676698054;8.06225774829855
123117;Hippocampus;0.10888987924704484;32.41913015489465
123117;Thalamus;0.19040317009663632;45.60701700396552
123117;WhiteMatter;0.6916350166455667;8.0
123117-PP;Amygdala;0.0;inf
123117-PP;GreyMatter;0.0001417776076446486;59.58187643906493
123117-PP;Hippocampus;0.0;inf
123117-PP;Thalamus;0.0035246017200056393;12.727922061357855
123117-PP;WhiteMatter;0.010722226106411242;39.81205847478876
123925;Amygdala;0.06630163075824307;79.46697427233529
123925;GreyMatter;0.3329598510039375;7.681145747868608
123925;Hippocampus;0.11945170457787872;31.11269837220809
123925;Thalamus;0.19564343021655836;44.14748010928823
123925;WhiteMatter;0.6339737767868331;8.06225774829855
123925-PP;Amygdala;0.0;inf
123925-PP;GreyMatter;0.00029323443006630355;62.39390995922599
123925-PP;Hippocampus;0.0;76.42643521714199
123925-PP;Thalamus;0.023467715503113735;12.727922061357855
123925-PP;WhiteMatter;0.01849892747134566;42.16633728461603
124422;Amygdala;0.06656946208237305;77.6273147803014
124422;GreyMatter;0.3065627927888996;8.0
124422;Hippocampus;0.10493748132974864;33.0
124422;Thalamus;0.21222262094519598;44.77722635447622
124422;WhiteMatter;0.654953729226603;8.246211251235321
124422-PP;Amygdala;0.0;inf
124422-PP;GreyMatter;0.00026341715267131337;56.515484603779164
124422-PP;Hippocampus;0.0;inf
124422-PP;Thalamus;0.005860910585376313;30.347981810987037
124422-PP;WhiteMatter;0.0014530126635088818;44.41846462902562
